code,name,code6111
1100,בנק,7110
1110,מזומן,7110
1120,כרטיס אשראי / סליקה,7360
1200,לקוחות כלליים,7310
2000,ספקים כלליים,9210
2100,כרטיסי אשראי לתשלום,9290
2400,"מע""מ עסקאות",9350
2410,"מע""מ תשומות",7440
40000,הכנסות,1030
40010,הכנסות פטורות,1030
60010,ספקים — כללי (הוצאה מוכרת),3680
60100,הוצאות משרד,3680
60110,ארנונה,3575
60120,גז,3590
60130,ועד בית,3680
60140,חשמל,3590
60150,מים,3590
60160,תחזוקה,3550
60170,שכירות משרד,3570
60180,שליחויות,3650
60200,רכב ותחבורה,3566
60210,ביטוח רכב,3566
60220,דלק,3567
60230,חניה,3566
60240,טיפולים,3566
60250,כבישי אגרה,3566
60260,מערכות,3566
60270,תחבורה ציבורית,3560
60300,תקשורת,3650
60310,אינטרנט,3650
60320,טלפון קווי,3650
60330,פלאפון,3650
60400,תוכנות ושירותי ענן,3680
60410,תוכנות,3680
60500,שיווק ופרסום,3620
60600,ייעוץ ושירותים מקצועיים,3540
60610,ייעוץ והשתלמויות,3600
60620,ייעוץ מקצועי,3540
60630,שכר טרחה,3540
60700,הנהלת חשבונות,3540
60800,שכר,3511
60810,הוצאות שכר,3511
60900,ספרות מקצועית,3600
61000,כיבוד,3625
61010,מתנות מוכרות,3625
61100,עמלות ודמי כרטיס,3100
61110,עמלות ודמי כרטיס (עסק),3100
61120,"עמלות ודמי כרטיס (בנק, אשראי ותנועות)",5010
61200,הוצאות מימון,5090
61210,ריבית,5010
61300,פחת,3580
61310,מחשב,3580
61320,ריהוט,3580
61330,רכב,3580
61340,תרומות מוכרות,183
61390,רכישת משרד,3580
90100,מקדמות מס הכנסה,7430
90400,מס במקור שנוכה מלקוחות,7430
90600,פרעון הלוואות (קרן),9120
