formPart,code6111,category,subcategory,internalCode
A,1010,הכנסות ממכירות ומתן שירותים,מכירות בארץ,6111-1010
A,1015,הכנסות ממכירות ומתן שירותים,הכנסות ממכירת מבנים בקבלן בונה,6111-1015
A,1020,הכנסות ממכירות ומתן שירותים,"מכירות בחו""ל",6111-1020
A,1025,הכנסות ממכירות ומתן שירותים,הכנסה מביצוע עבודות בקבלן מבצע,6111-1025
A,1030,הכנסות ממכירות ומתן שירותים,הכנסות ממתן שירותים בארץ,6111-1030
A,1040,הכנסות ממכירות ומתן שירותים,"הכנסות ממתן שירותים בחו""ל",6111-1040
A,1051,הכנסות ממכירות ומתן שירותים,הכנסות מצדדים קשורים בארץ,6111-1051
A,1052,הכנסות ממכירות ומתן שירותים,"הכנסות מצדדים קשורים בחו""ל",6111-1052
A,1090,הכנסות ממכירות ומתן שירותים,הכנסות אחרות,6111-1090
A,1306,עלות המכירות ומתן השירותים וביצוע עבודות,שכר עבודה,6111-1306
A,1307,עלות המכירות ומתן השירותים וביצוע עבודות,נלוות לשכר עבודה,6111-1307
A,1308,עלות המכירות ומתן השירותים וביצוע עבודות,הוצאות שכר בגין אופציות לעובדים,6111-1308
A,1310,עלות המכירות ומתן השירותים וביצוע עבודות,עבודות חוץ וקבלני משנה,6111-1310
A,1320,עלות המכירות ומתן השירותים וביצוע עבודות,קניות סחורה בארץ,6111-1320
A,1330,עלות המכירות ומתן השירותים וביצוע עבודות,"קניות חומרי גלם וחומרי בנייה בארץ ובחו""ל",6111-1330
A,1340,עלות המכירות ומתן השירותים וביצוע עבודות,"קניות סחורות בחו""ל",6111-1340
A,1350,עלות המכירות ומתן השירותים וביצוע עבודות,הפרשי שער בגין קניות במטבע חוץ,6111-1350
A,1360,עלות המכירות ומתן השירותים וביצוע עבודות,הוצאות לאחריות ולתביעות,6111-1360
A,1371,עלות המכירות ומתן השירותים וביצוע עבודות,קניות מצדדים קשורים בארץ,6111-1371
A,1372,עלות המכירות ומתן השירותים וביצוע עבודות,"קניות מצדדים קשורים בחו""ל",6111-1372
A,1390,עלות המכירות ומתן השירותים וביצוע עבודות,עלויות אחרות,6111-1390
A,1400,עלות המכירות ומתן השירותים וביצוע עבודות,מלאי בתחילת התקופה,6111-1400
A,1450,עלות המכירות ומתן השירותים וביצוע עבודות,מלאי בסוף התקופה,6111-1450
A,2005,עלויות ייצור ועלויות אצל קבלן בונה,מלאי תחילת תקופה,6111-2005
A,2006,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות שכר בגין אופציות לעובדים,6111-2006
A,2011,עלויות ייצור ועלויות אצל קבלן בונה,שכר עבודה,6111-2011
A,2012,עלויות ייצור ועלויות אצל קבלן בונה,נלוות לשכר עבודה,6111-2012
A,2015,עלויות ייצור ועלויות אצל קבלן בונה,עלות קרקעות אצל קבלן בונה,6111-2015
A,2020,עלויות ייצור ועלויות אצל קבלן בונה,עבודות חוץ וקבלני משנה,6111-2020
A,2025,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות אחריות ותביעות,6111-2025
A,2030,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות חרושת וחומרי בנייה,6111-2030
A,2035,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות ציוד מתכלה,6111-2035
A,2040,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות הובלה ואחסנה,6111-2040
A,2045,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות אריזה,6111-2045
A,2050,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות אחזקה ותיקונים,6111-2050
A,2060,עלויות ייצור ועלויות אצל קבלן בונה,ביטוחים,6111-2060
A,2066,עלויות ייצור ועלויות אצל קבלן בונה,אחזקת רכב והובלות (ללא דלק),6111-2066
A,2067,עלויות ייצור ועלויות אצל קבלן בונה,הוצאות דלק (לפני החזרים),6111-2067
A,2068,עלויות ייצור ועלויות אצל קבלן בונה,החזר בלו על דלק,6111-2068
A,2070,עלויות ייצור ועלויות אצל קבלן בונה,דמי שכירות וניהול נכסים,6111-2070
A,2075,עלויות ייצור ועלויות אצל קבלן בונה,מסים ואגרות,6111-2075
A,2080,עלויות ייצור ועלויות אצל קבלן בונה,פחת,6111-2080
A,2085,עלויות ייצור ועלויות אצל קבלן בונה,בגדי עבודה,6111-2085
A,2090,עלויות ייצור ועלויות אצל קבלן בונה,עלויות ייצור אחרות,6111-2090
A,2095,עלויות ייצור ועלויות אצל קבלן בונה,מלאי בסוף תקופה,6111-2095
A,2510,הוצאות מחקר ופיתוח,שכר עבודה,6111-2510
A,2520,הוצאות מחקר ופיתוח,נלוות לשכר עבודה,6111-2520
A,2530,הוצאות מחקר ופיתוח,הוצאות שכר בגין אופציות לעובדים,6111-2530
A,2540,הוצאות מחקר ופיתוח,עבודות חוץ,6111-2540
A,2550,הוצאות מחקר ופיתוח,הוצאות פחת,6111-2550
A,2560,הוצאות מחקר ופיתוח,אחזקת רכב,6111-2560
A,2570,הוצאות מחקר ופיתוח,"תמלוגים בגין מו""פ (בדוגמא למדען הראשי)",6111-2570-1
A,2590,הוצאות מחקר ופיתוח,אחרות,6111-2590
A,3011,הוצאות מכירה,שכר עבודה,6111-3011
A,3012,הוצאות מכירה,נלוות לשכר עבודה,6111-3012
A,3013,הוצאות מכירה,הוצאות שכר בגין אופציות לעובדים,6111-3013
A,3015,הוצאות מכירה,הוצאות הובלה ואחסנה,6111-3015
A,3020,הוצאות מכירה,הוצאות לקבלני משנה,6111-3020
A,3025,הוצאות מכירה,ביטוחים,6111-3025
A,3030,הוצאות מכירה,עמלות ובונוסים לסוכנים עצמאיים,6111-3030
A,3040,הוצאות מכירה,תמלוגים (זכויות הפצה),6111-3040
A,3045,הוצאות מכירה,הוצאות אריזה,6111-3045
A,3050,הוצאות מכירה,הוצאות אחזקה ותיקונים,6111-3050
A,3060,הוצאות מכירה,נסיעות,6111-3060
A,3066,הוצאות מכירה,אחזקת רכב והובלות (ללא דלק),6111-3066
A,3067,הוצאות מכירה,הוצאות דלק (לפני החזרים),6111-3067
A,3068,הוצאות מכירה,החזר בלו על דלק,6111-3068
A,3070,הוצאות מכירה,דמי שכירות וניהול נכסים,6111-3070
A,3075,הוצאות מכירה,"מכסים, ירידים ותערוכות",6111-3075
A,3080,הוצאות מכירה,פחת,6111-3080
A,3085,הוצאות מכירה,בגדי עבודה,6111-3085
A,3090,הוצאות מכירה,חשמל ומים,6111-3090
A,3100,הוצאות מכירה,עמלות וכרטיסי אשראי,6111-3100
A,3120,הוצאות מכירה,פרסום וקידום מכירות,6111-3120
A,3190,הוצאות מכירה,שונות נטו,6111-3190
A,3511,הוצאות הנהלה וכלליות,שכר עבודה,6111-3511
A,3513,הוצאות הנהלה וכלליות,הוצאות שכר בגין אופציות לעובדים,6111-3513
A,3512,הוצאות הנהלה וכלליות,נלוות לשכר עבודה,6111-3512
A,3515,הוצאות הנהלה וכלליות,ביטוחים,6111-3515
A,3520,הוצאות הנהלה וכלליות,עבודות חוץ וקבלני משנה,6111-3520
A,3530,הוצאות הנהלה וכלליות,עמלות ובונוסים לסוכנים,6111-3530
A,3535,הוצאות הנהלה וכלליות,הוצאות ציוד מתכלה,6111-3535
A,3540,הוצאות הנהלה וכלליות,שירותים מקצועיים,6111-3540
A,3545,הוצאות הנהלה וכלליות,הוצאות אריזה,6111-3545
A,3550,הוצאות הנהלה וכלליות,הוצאות אחזקה ותיקונים,6111-3550
A,3560,הוצאות הנהלה וכלליות,נסיעות,6111-3560
A,3566,הוצאות הנהלה וכלליות,אחזקת רכב והובלות (ללא דלק),6111-3566
A,3567,הוצאות הנהלה וכלליות,הוצאות דלק (לפני החזרים),6111-3567
A,3568,הוצאות הנהלה וכלליות,החזר בלו על דלק,6111-3568
A,3570,הוצאות הנהלה וכלליות,דמי שכירות וניהול נכסים,6111-3570
A,3575,הוצאות הנהלה וכלליות,מיסים ואגרות,6111-3575
A,3580,הוצאות הנהלה וכלליות,פחת,6111-3580
A,3590,הוצאות הנהלה וכלליות,חשמל ומים,6111-3590
A,3595,הוצאות הנהלה וכלליות,שמירה וניקיון,6111-3595
A,3600,הוצאות הנהלה וכלליות,השתלמות וספרות מקצועית,6111-3600
A,3610,הוצאות הנהלה וכלליות,חובות מסופקים ואבודים,6111-3610
A,3620,הוצאות הנהלה וכלליות,פרסום וקידום מכירות,6111-3620
A,3625,הוצאות הנהלה וכלליות,"כיבודים, מתנות, תרומות, קנסות",6111-3625
A,3631,הוצאות הנהלה וכלליות,הוצאות בגין צדדים קשורים בארץ,6111-3631
A,3632,הוצאות הנהלה וכלליות,"הוצאות בגין צדדים קשורים בחו""ל",6111-3632
A,3640,הוצאות הנהלה וכלליות,דמי ניהול,6111-3640
A,3650,הוצאות הנהלה וכלליות,הוצאות דואר ותקשורת,6111-3650
A,3660,הוצאות הנהלה וכלליות,"נסיעות לחו""ל",6111-3660
A,3665,הוצאות הנהלה וכלליות,הוצאות משפטיות,6111-3665
A,3680,הוצאות הנהלה וכלליות,משרדיות,6111-3680
A,3685,הוצאות הנהלה וכלליות,בגדי עבודה,6111-3685
A,3690,הוצאות הנהלה וכלליות,שונות נטו וביטולי יתרות,6111-3690
A,5010,הוצאות מימון,לתאגידים בנקאיים,6111-5010
A,5020,הוצאות מימון,לצדדים קשורים בארץ,6111-5020
A,5025,הוצאות מימון,"לצדדים קשורים בחו""ל",6111-5025
A,5030,הוצאות מימון,במטבע חוץ,6111-5030
A,5040,הוצאות מימון,בגין ספקים וזכאים,6111-5040
A,5050,הוצאות מימון,שיערוך נכסים/התחייבויות פיננסיות,6111-5050
A,5051,הוצאות מימון,בגין חוב מס,6111-5051
A,5090,הוצאות מימון,אחרות,6111-5090
A,5110,הכנסות מימון,מתאגידים בנקאיים,6111-5110
A,5121,הכנסות מימון,מצדדים קשורים בארץ,6111-5121
A,5122,הכנסות מימון,"מצדדים קשורים בחו""ל",6111-5122
A,5130,הכנסות מימון,מהפרשי שער,6111-5130
A,5150,הכנסות מימון,שיערוך נכסים/התחייבויות פיננסיות,6111-5150
A,5160,הכנסות מימון,"ריבית מאשראי חריג ממכירת מלאי/רכוש קבוע/נדל""ן",6111-5160
A,5190,הכנסות מימון,אחרות,6111-5190
A,5210,הכנסות אחרות,רווח הון ממימוש רכוש קבוע,6111-5210
A,5220,הכנסות אחרות,רווח הון אחר,6111-5220
A,5230,הכנסות אחרות,הכנסות מדמי ניהול,6111-5230
A,5236,הכנסות אחרות,הכנסות מדמי ניהול מצדדים קשורים בארץ,6111-5236
A,5237,הכנסות אחרות,"הכנסות מדמי ניהול מצדדים קשורים בחו""ל",6111-5237
A,5240,הכנסות אחרות,הכנסות מדיבידנד,6111-5240
A,5250,הכנסות אחרות,הכנסות מהשכרת מבנים וקרקעות,6111-5250
A,5260,הכנסות אחרות,הכנסות מתמלוגים,6111-5260
A,2570,הכנסות אחרות,הכנסות/מענקים (לדוגמא מהמדען הראשי),6111-2570-2
A,5290,הכנסות אחרות,שונות,6111-5290
A,5310,הוצאות אחרות,הפסד הון ממימוש רכוש קבוע,6111-5310
A,5320,הוצאות אחרות,הפסד הון אחר,6111-5320
A,5330,הוצאות אחרות,הפרשה לירידת ערך,6111-5330
A,5390,הוצאות אחרות,שונות,6111-5390
A,5610,מסים על הכנסה,מסים שוטפים,6111-5610
A,5620,מסים על הכנסה,מסים נדחים,6111-5620
A,5630,מסים על הכנסה,מסים בגין שנים קודמות,6111-5630
A,5710,ייעוד הרווחים,דיבידנד לחלוקה,6111-5710
A,5810,רווח/הפסד אקויטי,רווח/הפסד אקויטי,6111-5810
B,100,נתוני דוח התאמה למס,רווח/הפסד לפני מסים (מועבר משדה 6666),6111-100
B,104,נתוני דוח התאמה למס,רווח/הפסד חשבונאי לפי תקני דיווח ישראליים (ללא תקן 29),6111-104
B,400,נתוני דוח התאמה למס,הכנסה חייבת לפני יישום הוראות חוק נוספות,6111-400
B,103,התאמות חשבונאיות למי שיישם את חלופה 2 בהוראות ביצוע 7/2010 בנושא IFRS,סך התאמות חשבונאיות בעקבות השלכות IFRS,6111-103
